gene,top_cluster,glm_coef,pearson,max_gg_corr,max_gc_corr,cell_type
S100A14,c1,2.6129341438034,0.819612710179167,0.886244784002605,0.819612710179167,Tumor
S100A4,c2,1.22626181698822,0.668784773562368,0.879557694415591,0.668784773562368,Stromal
S100A8,c1,0.364948477096777,0.116660175504992,0.553250877453089,0.225352374987072,Tumor
SCD,c1,12.0348354639908,0.876679091567331,0.916564210174625,0.876679091567331,Tumor
SCGB2A1,NoSig,0.0,0.0,0.581239238669581,0.302119351135905,
SDC4,c1,0.502045947885831,0.648315232557032,0.843460985567096,0.648315232557032,Tumor
SEC11C,c1,1.13751761299572,0.655273288892476,0.863058877254619,0.655273288892476,Tumor
SEC24A,c1,1.07399945038201,0.870266473440958,0.9549277082776,0.870266473440958,Tumor
SELL,c5,0.618907345047226,0.831253522823477,0.938597091992263,0.831253522823477,T_Cells
SERHL2,c1,7.37079416258362,0.371316607248398,0.922389079166101,0.371316607248398,Tumor
SERPINA3,c4,8.35180398734166,0.555486532700765,0.795188668459239,0.555486532700765,Myoepithelial
SERPINB9,c5,0.653190317826001,0.563292874587161,0.885264506973155,0.600026053550983,T_Cells
SFRP1,c4,5.98068804701049,0.718378774982121,0.824206262175171,0.718378774982121,Myoepithelial
SFRP4,c2,3.11845935717143,0.428736079172083,0.702761745111807,0.428736079172083,Stromal
SH3YL1,c1,1.27211676430397,0.856621056926617,0.930915972055962,0.856621056926617,Tumor
SLAMF1,c5,0.396028183807981,0.814402141960683,0.938090883325301,0.814402141960683,T_Cells
SLAMF7,c3,1.55261539984584,0.702107117556803,0.876553072932276,0.702107117556803,Macrophages
SLC25A37,c4,0.65699797630994,0.606935238460781,0.805295804765906,0.606935238460781,Myoepithelial
SLC5A6,c1,1.00591065611254,0.842563516919444,0.935485956503395,0.842563516919444,Tumor
SMAP2,c5,0.58859564978273,0.684098685149466,0.892473759538839,0.684098685149466,T_Cells
SMS,c1,1.67560682605424,0.873152441553019,0.951667350959022,0.873152441553019,Tumor
SNAI1,c7,0.241463539507022,0.5366324263447,0.560747918168938,0.5366324263447,Endothelial
SOX17,c7,0.528695363604484,0.66416927917275,0.699007398222129,0.66416927917275,Endothelial
SOX18,c7,0.258021575378417,0.68597125613417,0.693465564984566,0.68597125613417,Endothelial
SPIB,c8,1.47621977872019,0.831789540300494,0.833275707110524,0.831789540300494,Dendritic
SQLE,c1,1.07024292160342,0.87182252015068,0.932945597618412,0.87182252015068,Tumor
SRPK1,c1,0.896984879625699,0.862287018962347,0.956522048418988,0.862287018962347,Tumor
SSTR2,NoSig,0.0,0.0,0.506012297729203,0.38963778520555,
STC1,NoSig,0.0,0.0,0.773499252965443,0.613471320913208,
SVIL,c4,1.73491273469269,0.587369398701564,0.851238406455174,0.587369398701564,Myoepithelial
TAC1,NoSig,0.0,0.0,0.545829172436348,0.408153643321123,
TACSTD2,c1,7.87016752763267,0.781076650318954,0.892646977031576,0.781076650318954,Tumor
TCEAL7,NoSig,0.0,0.0,0.758637223729378,0.690305764930181,
TCF4,c2,1.07228140262653,0.799099281027664,0.892719453633201,0.799099281027664,Stromal
TCF7,c5,0.639105161112121,0.899669042229069,0.943865694459072,0.899669042229069,T_Cells
TCIM,c1,2.94694951392715,0.76278499671029,0.87374189244527,0.76278499671029,Tumor
